
10/11/2016 9:55:14,70000,cto,15,2,Startup (wie Tractive),,Männlich,
10/11/2016 9:56:34,42000,Softwareentwickler,8,6,Startup (wie Tractive),,Männlich,
10/11/2016 9:58:07,40194,Full Stack Developer,4,4,Startup (wie Tractive),,Männlich,
10/11/2016 9:58:17,51184,Software Entwickler,8,8,Große Firma (wie Voestalpine),,Weiblich,
10/11/2016 9:59:57,56000,Webdeveloper,4,2,Webagentur (wie Netural),,Männlich,Bonuszahlungen nicht berücksichtigt - Ebenso Beteiligungen nicht berücksichtigt.
10/11/2016 10:00:35,41440,SW-Entwickler,7,,Softwareagentur (wie Catalysts),,Männlich,
10/11/2016 10:00:38,90000,Software Architekt (freiberuflich),14,8,Selbstständig,,Männlich,
10/11/2016 10:00:43,39200,Junior Data Warehouse Developer,1,1,Softwarefirma (wie Borland),,Weiblich,
10/11/2016 10:02:47,48000,Software/Hardware Entwickler,5,4.5,Chemie Qualitätssicherung,,Männlich,
10/11/2016 10:02:59,43400,Webentwickler,4,2,Mittelgroße Firma,,Männlich,
10/11/2016 10:03:27,43600,Software Engineer / Project Manager,10,6,Softwareagentur (wie Catalysts),,Weiblich,
10/11/2016 10:04:24,51800,Technical Product Manager,5,4,Softwarefirma (wie Borland),,Männlich,
10/11/2016 10:04:38,60000,Software Engineer,10,2,Softwarefirma (wie Borland),,Männlich,
10/11/2016 10:04:38,42840,Software Developer,,,,,Weiblich,
10/11/2016 10:08:36,51800,Digital Business Manager,5,0,Technischer Händler,,Männlich,
10/11/2016 10:12:24,51000,Embedded Software Entwickler,7,1,Große Firma (wie Voestalpine),,Männlich,
10/11/2016 10:12:38,61600,Senior Systems Engineer,15,8,Softwarefirma (wie Borland),,Männlich,"Gehalt ist mit üblichen Prämien und Überstundenpauschale. Auf 38,5 wären es ca. 50000"
10/11/2016 10:12:58,57120,Softwareentwickler,11,8,Produktionsfirma,,Männlich,"kein All-In-Vertrag, 38,5h/Woche, Überstunden werden ausbezahlt oder können auf ZA genommen werden, KV: Metallgewerbe"
10/11/2016 10:16:14,42000,Softwaredeveloper,4,2,Softwareagentur (wie Catalysts),,Männlich,Eigentlich nur ~35k/32h hab das mal aufgerechnet
10/11/2016 10:17:06,39445,Webenwicklerin,4,4,Startup (wie Tractive),,Weiblich,
10/11/2016 10:17:29,35700,Test Automation Engineer,7,3,Onlinefirma,,Männlich,Jahresgehalt inkl 13. und 14.
10/11/2016 10:19:16,47600,Software engineer,7,4,Softwareagentur (wie Catalysts),,Weiblich,Ausländer
10/11/2016 10:24:42,37100,Softwareentwickler,2,1,Softwareagentur (wie Catalysts),,Männlich,Über 3 jahre erfahrung aber teilzeit. 2 Vollzeitjahre ca. 
10/11/2016 10:27:31,60000,Presales Engineer,5,2,Softwarefirma (wie Borland),,Männlich,
10/11/2016 10:28:29,53900,Projekt Manager,7,4,Große Firma (wie Voestalpine),,Männlich,Hau rein Phil!
10/11/2016 10:29:52,48300,Softwareentwickler,2,2,Softwarefirma (wie Borland),,Männlich,
10/11/2016 10:30:11,46200,Software Engineer JavaScript,,,Große Firma (wie Voestalpine),,Männlich,
10/11/2016 10:30:19,46200,Webdeveloper,10,1,Große Firma (wie Voestalpine),,Männlich,
10/11/2016 10:34:00,39900,Wissenschaftliche Mitarbeiterin,3,2,FH oder Universität,,Weiblich,
10/11/2016 10:35:26,54600,Software Engineer,4,4,Softwarefirma (wie Borland),,Männlich,"40,8h"
10/11/2016 10:42:30,39200,Backend Developer,7,1,Startup (wie Tractive),,Männlich,
10/11/2016 10:48:49,50200,CRM Entwickler / Leiter der Entwicklung,3,3,Softwarefirma (wie Borland),,Männlich,
10/11/2016 10:54:12,57400,Senior Software Engineer,6,,,,Männlich,
10/11/2016 10:55:41,46200,Geoinformatiker,14,11,öffentlicher Dienst,,Männlich,
10/11/2016 10:59:15,60000,E-Learning,18,2,,,Männlich,
10/11/2016 11:04:48,40600,,6,1,Startup (wie Tractive),,Männlich,
10/11/2016 11:05:04,51100,Software Architekt,10,1,Softwarefirma (wie Borland),,Männlich,-
10/11/2016 11:07:21,53200,,8,2,,,Weiblich,
10/11/2016 11:08:33,50000,Web-Developer,3,2,Selbstständig,,Männlich,30h/ Woche
10/11/2016 11:09:52,48000,Software Engineer ,5,1,Softwarefirma (wie Borland),,Männlich,
10/11/2016 11:10:21,30800,Netzwerktechniker,0.5,0.5,Große Firma (wie Voestalpine),,Männlich,
10/11/2016 11:10:28,35000,Informatiker/Programmierer,6,3.5,Softwareagentur (wie Catalysts),,Männlich,"Gehaltsbasis: 38,5h/Woche"
10/11/2016 11:11:25,52000,Software Entwickler,5.5,3,Softwareagentur (wie Catalysts),,Männlich,ca. 40h
10/11/2016 11:12:37,63700,,12,,Softwareagentur (wie Catalysts),,Männlich,"it kv st2 (erfahrungsstufe), 40h/woche"
10/11/2016 11:13:49,39200,,,,Webagentur (wie Netural),,Männlich,
10/11/2016 11:14:54,78000,Software architekt,16,6,Softwarefirma (wie Borland),,Männlich,
10/11/2016 11:14:54,60000,Software Developer,8,,,,Männlich,
10/11/2016 11:15:00,42000,Softwareentwickler,3,3,Große Firma (wie Voestalpine),,Männlich,
10/11/2016 11:20:59,38000,Content-Redakteur,7,5,Große Firma (wie Voestalpine),,Männlich,All-In.
10/11/2016 11:22:17,48000,Software Developer Mobile,4,3,,,Männlich,
10/11/2016 11:22:49,33600,Konzeptionist,8,0.5,Webagentur (wie Netural),,Weiblich,
